we|PRP|ABSTRACT_6:ABSTRACT_11:ABSTRACT_5:ABSTRACT_4:ABSTRACT_15:ABSTRACT_8:ABSTRACT_2:ABSTRACT_3:ABSTRACT_1:ABSTRACT_7:ABSTRACT_9:ABSTRACT_10|5
that|WDT|ABSTRACT_6:ABSTRACT_5:ABSTRACT_4:ABSTRACT_2:ABSTRACT_8:ABSTRACT_3:ABSTRACT_7:ABSTRACT_12:ABSTRACT_10|2
interesting nuggets|JJ NNS|ABSTRACT_6:ABSTRACT_5:ABSTRACT_4:TITLE_1:ABSTRACT_2:ABSTRACT_3:ABSTRACT_1|3
the topic|DT NN|ABSTRACT_6:ABSTRACT_5:ABSTRACT_4:ABSTRACT_8:ABSTRACT_2:ABSTRACT_3:ABSTRACT_1:ABSTRACT_7:ABSTRACT_9|3
the human interest model|DT JJ NN NN|ABSTRACT_5:ABSTRACT_4:ABSTRACT_8:ABSTRACT_2:ABSTRACT_3:ABSTRACT_1|0
the trec 2005 question|DT NN CD NN|ABSTRACT_6:ABSTRACT_5:ABSTRACT_4|0
a unigram language model|DT NN NN NN|ABSTRACT_3:ABSTRACT_7|0
informative and interesting nuggets|JJ CC JJ NNS|ABSTRACT_6:ABSTRACT_2:ABSTRACT_9|1
an average human reader|DT JJ JJ NN|ABSTRACT_2|1
the unigram language model|DT NNP NN NN|ABSTRACT_8:ABSTRACT_2|0
just about any topic|RB IN DT NN|ABSTRACT_3|0
37( 1 ) :145|JJ CD -RRB- CD|ABSTRACT_3|0
the most relevant article|DT RBS JJ NN|ABSTRACT_5:ABSTRACT_3|0
information search and retrieval]|NN NN CC NN|ABSTRACT_2|0
h.1.2 [ user/machine systems|CD NN NN NNS|ABSTRACT_4|0
the human interest-based system|DT JJ JJ NN|ABSTRACT_2|0
a single final score|DT JJ JJ NN|ABSTRACT_3|0
past definitional question answering |JJ JJ NN NN|ABSTRACT_4|0
a more balanced measure|DT JJR JJ NN|ABSTRACT_2|0
allowed character length function|VBN NN NN NN|ABSTRACT_8|0
the aquaint retrieval module|DT NN NN NN|ABSTRACT_4:ABSTRACT_1|0
person and organization topics|NN CC NN NNS|ABSTRACT_5|0
a potential answer sentence|DT JJ NN NN|ABSTRACT_3:ABSTRACT_1|0
both language models i|DT NN NNS FW|ABSTRACT_3|0
the nugget agreement rate|DT NN NN NN|ABSTRACT_1:ABSTRACT_7|0
crumb , rachel carson|JJ , JJ NN|ABSTRACT_36|0
kip kinkel school shooting|NN NN NN NN|ABSTRACT_71|0
qa track definitional questions|NN NN JJ NNS|ABSTRACT_2|0
plane clips cable wires|NN NNS NN NNS|ABSTRACT_69|0
the top definitional system|DT JJ JJ NN|ABSTRACT_2|0
high frequency centroid terms|JJ NN NN NNS|ABSTRACT_2|0
a human interest model|DT JJ NN NN|ABSTRACT_3|0
symmetric and non-negative as|JJ CC JJ IN|ABSTRACT_3|0
all low frequency terms|DT JJ NN NNS|ABSTRACT_3|0
a lexical patternbased approach|DT JJ JJ NN|ABSTRACT_2|1
our lower bound reference|PRP$ JJR JJ NN|ABSTRACT_5|0
vital and okay nuggets|JJ CC JJ NNS|ABSTRACT_3|0
1 2 â¢dkl â |CD CD JJ NN|ABSTRACT_2|0
1998 nagano olympic games|CD NN JJ NNS|ABSTRACT_82|0
2000 bush-gore presidential debate|CD JJ JJ NN|ABSTRACT_76|0
soft pattern bigram model|JJ NN NN NN|ABSTRACT_3|0
a simple weighted sum|DT JJ JJ NN|ABSTRACT_2|0
the original official description|DT JJ JJ NN|ABSTRACT_2|0
1998 indictment and trial|CD NN CC NN|ABSTRACT_77|0
a document retrieval module|DT NN NN NN|ABSTRACT_3|0
the bigram language model|DT JJS NN NN|ABSTRACT_2|0
the two separate scores|DT CD JJ NNS|ABSTRACT_2|0
the low agreement rates|DT JJ NN NNS|ABSTRACT_11|1
the google search engine|DT JJ NN NN|ABSTRACT_4|0
a trec 2005 topic|DT NN CD NN|ABSTRACT_4|0
a bigram language model|DT JJ NN NN|ABSTRACT_2|0
a term weighting scheme|DT NN VBG NN|ABSTRACT_2|0
800 most relevant documents|CD RBS JJ NNS|ABSTRACT_5|0
our two language models|PRP$ CD NN NNS|ABSTRACT_5|0
hurricane mitch table 3|NN NN NN CD|ABSTRACT_89|0
many question answering system|JJ NN VBG NN|ABSTRACT_2|0
only a small number|RB DT JJ NN|ABSTRACT_8|0
a definitional qa system|DT JJ NN NN|ABSTRACT_3|0
one or more patterns|CD CC JJR NNS|ABSTRACT_6|0
the same web articles|DT JJ NN NNS|ABSTRACT_5|0
specific corpus , i|JJ FW , FW|ABSTRACT_6|0
interesting nuggets and trivia|JJ NNS CC NNS|ABSTRACT_2|0
two very different experts|CD RB JJ NNS|ABSTRACT_10|0
the aquaint corpus sentences|DT NN NN NNS|ABSTRACT_4|0
highly frequency topic terms|RB NN NN NNS|ABSTRACT_6|0
an ensemble learning method|DT NN VBG NN|ABSTRACT_4|0
over 25,000 notable people|IN CD JJ NNS|ABSTRACT_3|0
the last three nuggets|DT JJ CD NNS|ABSTRACT_3|0
high frequency relevant terms|JJ NN JJ NNS|ABSTRACT_7|0
the best web resources|DT JJS NN NNS|ABSTRACT_6|0
a unique topic-specific nugget|DT JJ JJ NN|ABSTRACT_2|0
3 ) figure 3|CD -RRB- NN CD|ABSTRACT_5|0
the power law distribution|DT NN NN NN|ABSTRACT_4|0
a pairwise similarity comparison|DT JJ NN NN|ABSTRACT_3|0
the standard scoring methodology|DT JJ NN NN|ABSTRACT_3|0
the 21st international conference|DT JJ JJ NN|ABSTRACT_2|0
a ( 4 )|DT -LRB- CD -RRB-|ABSTRACT_6|0
a standard information retrieval|DT JJ NN NN|ABSTRACT_4|0
relatively simple unigram probabilities|RB JJ NN NNS|ABSTRACT_5|0
a complete definitional coverage|DT JJ JJ NN|ABSTRACT_4|1
the five different term|DT CD JJ NN|ABSTRACT_3|0
the same same set|DT JJ JJ NN|ABSTRACT_2|0
low frequency relevant terms|JJ NN JJ NNS|ABSTRACT_5|0
an easily accessible source|DT RB JJ NN|ABSTRACT_6|0
two very different types|CD RB JJ NNS|ABSTRACT_3|0
highly frequent topic terms|RB JJ NN NNS|ABSTRACT_5|0
the definitonal corpus sentences|DT JJ NN NNS|ABSTRACT_3|0
the soft-pattern bigram model|DT JJ NN NN|ABSTRACT_4|1
novel and unique aspects|NN CC JJ NNS|ABSTRACT_7|0
a human manual run|DT JJ NN NN|ABSTRACT_3|0
definitional question answering system|JJ NN VBG NN|ABSTRACT_4|0
the trec 2004 question|DT NN CD NN|ABSTRACT_3|0
the above four groups|DT JJ CD NNS|ABSTRACT_6|0
currently two general methods|RB CD JJ NNS|ABSTRACT_3|0
only a single collection|RB DT JJ NN|ABSTRACT_3|0
manually crafted lexicosyntactic patterns|RB VBN JJ NNS|ABSTRACT_4|0
the same answer nuggets|DT JJ NN NNS|ABSTRACT_2|0
a definitional centroid vector|DT JJ NN NN|ABSTRACT_2|0
unimportant or uncommon information|JJ CC JJ NN|ABSTRACT_5|1
the unigram languge model|DT NN NN NN|ABSTRACT_9|0
the sentence agreement rate|DT NN NN NN|ABSTRACT_2|0
a diverse ranked list|DT JJ VBN NN|ABSTRACT_3|0
various term weighting schemes|JJ NN VBG NNS|ABSTRACT_7|0
linguistic or syntactic patterns|JJ CC JJ NNS|ABSTRACT_6|0
two very different perspective|CD RB JJ NN|ABSTRACT_2|0
the edit distance algorithm|DT NN NN NN|ABSTRACT_2|0
the inverse document frequency|DT NN NN NN|ABSTRACT_2|0
