which|WDT|BODY_6:BODY_5:ABSTRACT_4:BODY_13:BODY_2:BODY_3:BODY_10:BODY_4:ABSTRACT_7:BODY_7:BODY_9|1
it|PRP|BODY_5:BODY_23:BODY_2:BODY_1:BODY_3:ABSTRACT_1:BODY_4:BODY_7:BODY_8:BODY_9|3
we|PRP|BODY_5:BODY_2:BODY_1:BODY_3:ABSTRACT_1:BODY_4:BODY_7|1
the number|DT NN|BODY_6:BODY_5:BODY_11:BODY_16:BODY_2:BODY_1:ABSTRACT_3:BODY_14:BODY_3:BODY_4:BODY_7|1
the time slot sorter|DT NN NN NN|BODY_5:BODY_11:BODY_2:BODY_1:ABSTRACT_1|0
the time slot permuter|DT NN NN NN|BODY_6:ABSTRACT_2|0
the space domain|DT NN NN|BODY_6:ABSTRACT_5:BODY_3:BODY_4|0
time slot interchangers|NN NN NNS|ABSTRACT_2:BODY_2:BODY_7|0
switches|NNS|BODY_5:ABSTRACT_4:ABSTRACT_2:BODY_3:BODY_7|0
multistage interconnection networks|JJ NN NNS|ABSTRACT_4:BODY_3|0
time division|NN NN|ABSTRACT_8:BODY_2|0
time|NN|BODY_5:BODY_17:BODY_1:BODY_4:ABSTRACT_12|0
optical implementation|JJ NN|ABSTRACT_8:BODY_2:BODY_1|0
crosstalk|NN|BODY_5:BODY_1:ABSTRACT_7|0
delays|NNS|ABSTRACT_6:BODY_4:BODY_9|0
the idea|DT NN|ABSTRACT_4:BODY_1|0
tsis|NN|ABSTRACT_2:BODY_1:ABSTRACT_3|0
control complexities|NN NNS|BODY_6:ABSTRACT_3|0
frame delays|NN NNS|ABSTRACT_4:BODY_1|0
these architectures|DT NNS|ABSTRACT_5:BODY_3|0
2/spl times/2 exchange switches|JJ NN NN NNS|ABSTRACT_5|0
the /spl lambdaspl|DT NN NN|ABSTRACT_5:ABSTRACT_4|0
time slot permuter|NN NN NN|ABSTRACT_6:ABSTRACT_5|0
an algorithmic approach|DT JJ NN|ABSTRACT_3|0
lambdasub nsup q/|NN NN NN|ABSTRACT_2|0
( tdm) systems|-LRB- NN NNS|ABSTRACT_9|0
time slot permuters|NN NN NNS|ABSTRACT_3|0
