controlled grammatic ambiguity|VBN JJ NN|TITLE_1:BODY_1|0
which|WDT|BODY_12:BODY_16:BODY_15:ABSTRACT_14:BODY_2:BODY_3:BODY_4:BODY_6:BODY_5:ABSTRACT_4:BODY_19:BODY_7:BODY_8:BODY_9|0
the resulting parser|DT VBG NN|ABSTRACT_2:BODY_1:BODY_2|0
a finite set|DT JJ NN|ABSTRACT_3:BODY_4|0
the parser generation|DT NN NN|BODY_5:ABSTRACT_2|0
partial parse trees|JJ JJ NNS|BODY_5:ABSTRACT_5|0
the following problems|DT VBG NNS|ABSTRACT_6:BODY_3|0
a new approach|DT JJ NN|BODY_1:ABSTRACT_1|0
ambiguous grammars|JJ NNS|BODY_6:BODY_5:ABSTRACT_8:BODY_2:BODY_3:BODY_10:BODY_7:BODY_8|2
the grammar|DT NN|BODY_6:BODY_5:ABSTRACT_13:BODY_2:BODY_1:BODY_3:BODY_4:BODY_7:ABSTRACT_9|0
that|WDT|BODY_6:BODY_11:BODY_5:ABSTRACT_11:BODY_13:BODY_2:BODY_3:BODY_10:BODY_7:BODY_9|0
linear time|JJ NN|BODY_12:BODY_16:ABSTRACT_4:ABSTRACT_15:BODY_3:BODY_4:BODY_7:BODY_8|1
the ambiguity|DT NN|BODY_5:ABSTRACT_8:BODY_2:BODY_1:BODY_14:BODY_10:BODY_4:BODY_7:BODY_9|0
a parser|DT NN|BODY_2:BODY_1:ABSTRACT_3:BODY_7:ABSTRACT_10|0
the user|DT NN|BODY_2:BODY_3:ABSTRACT_1|0
large classes|JJ NNS|BODY_6:BODY_5:BODY_3:BODY_4:ABSTRACT_7:BODY_7|0
context-free grammars|JJ NNS|ABSTRACT_3:BODY_3|0
this approach|DT NN|BODY_5:ABSTRACT_4|0
the sentences|DT NNS|ABSTRACT_6:BODY_7|0
all input|DT NN|ABSTRACT_5:BODY_3|0
some specific parse trees|DT JJ JJ NNS|ABSTRACT_5|0
all sentences and terminates|DT NNS CC NNS|ABSTRACT_3|0
the structural ambiguity|DT JJ NN|ABSTRACT_2|0
each pair|DT NN|ABSTRACT_6|0
all sentences|DT NNS|ABSTRACT_12|0
we|PRP|BODY_12:BODY_11:BODY_16:BODY_18:BODY_15:BODY_13:BODY_2:BODY_3:BODY_4:BODY_6:BODY_5:BODY_1:BODY_7:BODY_8:BODY_9|1
it|PRP|BODY_6:BODY_11:BODY_5:BODY_17:BODY_2:BODY_1:BODY_3:BODY_10:BODY_4:BODY_7:BODY_8:BODY_9|2
complete linear time parsers|JJ NN NN NNS|BODY_3:BODY_7:BODY_8|1
a somewhat related characterization|DT RB JJ NN|BODY_1|1
