genetic algorithms|JJ NNS|BODY_5:ABSTRACT_4:TITLE_1:BODY_1:BODY_3:BODY_4|0
we|PRP|BODY_12:BODY_15:ABSTRACT_2:ABSTRACT_3:BODY_2:BODY_3:BODY_4:BODY_6:BODY_5:BODY_1:ABSTRACT_1:BODY_7:BODY_8|5
that|WDT|BODY_12:BODY_11:BODY_15:BODY_2:BODY_3:BODY_14:BODY_4:BODY_6:BODY_5:ABSTRACT_5:BODY_1:BODY_7:ABSTRACT_9:BODY_8:BODY_9|2
concept learning|NN NN|BODY_6:BODY_12:TITLE_2:BODY_2:BODY_7|0
gabil|NN|BODY_6:BODY_5:ABSTRACT_4:BODY_1:BODY_2:ABSTRACT_3:BODY_3:BODY_4:BODY_7|1
the design and implementation|DT NN CC NN|BODY_2:ABSTRACT_7|0
other concept learning systems|JJ NN VBG NNS|ABSTRACT_4:BODY_10|0
robust concept learning systems|JJ NN VBG NNS|BODY_6:ABSTRACT_8|0
c4.5|CD|BODY_6:BODY_5:BODY_2:BODY_1:BODY_3:BODY_4:BODY_10:ABSTRACT_7:BODY_7:BODY_9|1
the system|DT NN|BODY_6:ABSTRACT_2:BODY_2:BODY_1:BODY_3:ABSTRACT_1:BODY_4:BODY_8|1
concept classification rules|NN NN NNS|BODY_5:ABSTRACT_5|1
a ga-based system|DT JJ NN|ABSTRACT_2:BODY_2:BODY_3|1
this approach|DT NN|ABSTRACT_4:ABSTRACT_2:BODY_1:BODY_2:BODY_3:BODY_4:BODY_7|0
a key element|DT JJ NN|BODY_5:ABSTRACT_6|0
gas|NN|BODY_6:BODY_5:ABSTRACT_2:BODY_2:BODY_3:BODY_8|1
target concepts|NN NNS|BODY_5:ABSTRACT_11:BODY_13:BODY_7:BODY_8:BODY_9|1
a ga|DT NN|BODY_2:BODY_3:ABSTRACT_1:BODY_4|1
the performance|DT NN|BODY_2:ABSTRACT_3:BODY_3:BODY_7|0
the use|DT NN|BODY_13:ABSTRACT_3:BODY_3:ABSTRACT_1|0
an important additional feature|DT JJ JJ NN|ABSTRACT_6|1
a concept learning system|DT NN VBG NN|ABSTRACT_4|1
different concept learning systems|JJ NN VBG NNS|ABSTRACT_7|0
several important features|JJ JJ NNS|ABSTRACT_7|1
the biases )|DT NNS -RRB-|ABSTRACT_12|0
those well matched|DT RB VBN|ABSTRACT_11|0
certain concept classes|JJ NN NNS|ABSTRACT_10|0
which|WDT|BODY_6:BODY_11:BODY_5:BODY_17:BODY_13:BODY_2:BODY_3:BODY_10:BODY_4:BODY_7:BODY_8|1
it|PRP|BODY_6:BODY_11:BODY_5:BODY_2:BODY_1:BODY_3:BODY_4:BODY_7:BODY_8:BODY_9|2
there|EX|BODY_6:BODY_2:BODY_1:BODY_3:BODY_4:BODY_10:BODY_7:BODY_8|1
the concept description language|DT NN NN NN|BODY_2|1
these two search processes|DT CD NN NNS|BODY_2|1
here insert table 6|RB NN NN CD|BODY_2|1
an important design consideration|DT JJ NN NN|BODY_3|1
a very natural way|DT RB JJ NN|BODY_4:BODY_7|1
a rule set representation|DT NN VBD NN|BODY_3|1
a good fitness function|DT JJ NN NN|BODY_5|1
an important next step|DT JJ JJ NN|BODY_1|1
the adding alternative operator|DT VBG NN NN|BODY_2:BODY_1:BODY_3|0
the dropping condition operator|DT VBG NN NN|BODY_2:BODY_1:BODY_3|0
the syntax and semantics|DT NN CC NNS|BODY_13:BODY_3|0
the size and complexity|DT NN CC NN|BODY_2:BODY_9|0
crossover and mutation )|NN CC NN -RRB-|BODY_3|0
the fundamental ga operators|DT JJ NN NNS|BODY_2|0
the surviving rule sets|DT VBG NN NNS|BODY_2|0
's changeable algorithmic biases|POS JJ JJ NNS|BODY_2|0
batch-incremental and incremental modes|JJ CC JJ NNS|BODY_2|0
here the vbms system|RB DT NNS NN|BODY_2|0
the corresponding crossover points|DT JJ NN NNS|BODY_2|0
four other concept learners|CD JJ NN NNS|BODY_6:BODY_2|0
positive and negative examples|JJ CC JJ NNS|BODY_7:BODY_8:BODY_9|0
the bc database )|DT JJ NN -RRB-|BODY_3:BODY_20|0
the bc target concept|DT JJ NN NN|BODY_6:BODY_5:BODY_1|0
all the target concepts|DT DT NN NNS|BODY_5:BODY_7|0
the most specific generalization|DT RBS JJ NN|BODY_5:BODY_7|0
additional genetic  operators|JJ JJ NN NNS|BODY_4:BODY_9|0
the shelf  ga|DT NN NN NN|BODY_5|0
problem approach adapts gas|NN NN NNS NN|BODY_3|0
a non-linear differential reward|DT JJ JJ NN|BODY_15|0
a decision tree )|DT NN NN -RRB-|BODY_4|0
the original problem space|DT JJ NN NN|BODY_6:BODY_8|0
a 95 % level|DT CD NN NN|BODY_3|0
times ( trials )|NNS -LRB- NNS -RRB-|BODY_2|0
here insert table 4|RB NN NN CD|BODY_2|0
the remaining 0 bits|DT VBG CD NNS|BODY_5|0
certain advantages and disadvantages|JJ NNS CC NNS|BODY_2|0
each decision tree node|DT NN NN NN|BODY_1|0
the selection and application|DT NN CC NN|BODY_2|0
a decision tree representation|DT NN NN NN|BODY_2|0
5 the precise criteria|CD DT JJ NNS|BODY_7|0
