suit|NN|BODY_11:BODY_16:BODY_18:BODY_13:TITLE_2:BODY_26:ABSTRACT_2:BODY_2:BODY_3:BODY_4:BODY_6:BODY_5:ABSTRACT_4:BODY_1:ABSTRACT_1:BODY_10:BODY_7:BODY_8:BODY_20:BODY_9|3
we|PRP|BODY_12:BODY_11:BODY_16:ABSTRACT_3:BODY_2:BODY_3:BODY_4:BODY_6:BODY_5:ABSTRACT_5:ABSTRACT_8:BODY_1:ABSTRACT_1:BODY_10:BODY_7:BODY_8:BODY_9|11
which|WDT|BODY_12:BODY_11:BODY_15:ABSTRACT_3:BODY_2:BODY_3:BODY_14:BODY_4:BODY_6:BODY_5:BODY_10:BODY_7:BODY_8:BODY_9|2
they|PRP|BODY_12:BODY_6:BODY_5:ABSTRACT_2:BODY_1:BODY_14:BODY_3:BODY_4:BODY_7:BODY_8:BODY_9|3
users|NNS|BODY_5:ABSTRACT_2:BODY_1:BODY_2:BODY_3:BODY_4:BODY_8|2
who|WP|BODY_6:BODY_11:BODY_5:ABSTRACT_5:BODY_2:BODY_3:BODY_19:BODY_4:BODY_10:BODY_8:BODY_9|0
the programmer|DT NN|BODY_6:BODY_5:ABSTRACT_4:BODY_1:BODY_2:BODY_4:BODY_8|0
the computer science community|DT NN NN NN|ABSTRACT_2|0
an interactive layout editor|DT JJ NN NN|ABSTRACT_5|0
an external control uims|DT JJ NN NNS|ABSTRACT_4|0
a c subroutine library|DT NN JJ NN|ABSTRACT_2|0
less than three hours|JJR IN CD NNS|ABSTRACT_5|0
it|PRP|BODY_12:BODY_11:BODY_16:BODY_2:BODY_3:BODY_14:BODY_4:BODY_33:BODY_6:BODY_5:BODY_1:BODY_10:BODY_7:BODY_8:BODY_30:BODY_9|4
that|WDT|BODY_6:BODY_11:BODY_5:BODY_13:BODY_2:BODY_3:BODY_10:BODY_4:BODY_7:BODY_8:BODY_9|3
this|DT|BODY_6:BODY_5:BODY_11:BODY_1:BODY_2:BODY_3:BODY_4:BODY_10:BODY_9|2
the user|DT NN|BODY_6:BODY_5:BODY_2:BODY_1:BODY_3:BODY_10:BODY_4:BODY_7:BODY_9|0
them|PRP|BODY_6:BODY_5:BODY_13:BODY_2:BODY_1:BODY_3:BODY_4:BODY_10:BODY_7:BODY_8:BODY_9|0
an object|DT NN|BODY_6:BODY_5:BODY_11:BODY_2:BODY_1:BODY_3:BODY_4:BODY_7:BODY_9:BODY_20|2
property setting and linkage|NN NN CC NN|BODY_6|1
a user interface toolkit|DT NN NN NN|BODY_1:BODY_9|1
's test> ) {|POS NN -RRB- JJ|BODY_8|1
internal control  applications|JJ NN NN NNS|BODY_3|1
