which|WDT|BODY_11:BODY_15:BODY_13:BODY_2:BODY_3:BODY_4:BODY_6:BODY_5:ABSTRACT_4:BODY_10:BODY_7:BODY_8:BODY_9|5
the number|DT NN|BODY_12:BODY_11:ABSTRACT_2:ABSTRACT_3:BODY_2:BODY_3:BODY_4:BODY_6:BODY_5:BODY_1:ABSTRACT_1:BODY_10:BODY_7:BODY_8|3
the parameters|DT NNS|BODY_6:BODY_11:BODY_5:ABSTRACT_6:BODY_13:BODY_1:BODY_2:BODY_3:BODY_4:BODY_7:BODY_8|0
textures|NNS|BODY_6:BODY_13:BODY_2:BODY_1:ABSTRACT_3:BODY_3:BODY_4:BODY_7:BODY_8:BODY_9|3
the image|DT NN|BODY_6:BODY_5:ABSTRACT_4:BODY_1:BODY_3:BODY_7:BODY_9|0
the individual textures|DT JJ NNS|BODY_5:ABSTRACT_2:BODY_3|0
the cluster parameters|DT NN NNS|BODY_5:ABSTRACT_3|0
multiple resolution segmentation|JJ NN NN|TITLE_1|0
regions|NNS|BODY_6:BODY_5:BODY_2:ABSTRACT_3:BODY_4:BODY_7|2
clusters|NNS|BODY_5:BODY_2:ABSTRACT_3:BODY_3:ABSTRACT_1:BODY_7:BODY_9|0
an algorithm|DT NN|ABSTRACT_2:BODY_1:BODY_2:BODY_4:BODY_10|1
their parameters|PRP$ NNS|BODY_12:BODY_6:ABSTRACT_4:BODY_4:BODY_8|1
segmentation|NN|BODY_6:BODY_5:BODY_2:BODY_1:ABSTRACT_1|0
coarse resolution|JJ NN|BODY_6:ABSTRACT_2:BODY_25:BODY_3:BODY_4:BODY_7|0
the data|DT NNS|BODY_5:ABSTRACT_4:BODY_2|0
the classification|DT NN|BODY_6:BODY_5:ABSTRACT_5:ABSTRACT_2:BODY_3|0
an image|DT NN|BODY_6:BODY_5:ABSTRACT_5:BODY_4|0
each pixel|DT NN|BODY_6:ABSTRACT_3:BODY_4|0
the mean|DT NN|ABSTRACT_3:BODY_3:BODY_4|0
the field|DT NN|BODY_12:BODY_5:BODY_2:ABSTRACT_1:BODY_4|0
each resolution|DT NN|BODY_6:ABSTRACT_2:BODY_1:ABSTRACT_1|0
this method|DT NN|BODY_2:BODY_1:ABSTRACT_1|0
the a posteriori probability|DT DT NN NN|ABSTRACT_2:ABSTRACT_3|0
a deterministic greedy algorithm|DT JJ JJ NN|ABSTRACT_3|0
some previously known methods|DT RB VBN NNS|ABSTRACT_4|0
the aic information criterion|DT JJ NN NN|ABSTRACT_6|0
