error|NN|BODY_6:BODY_5:BODY_16:ABSTRACT_4:TITLE_3:BODY_1:BODY_2:BODY_3:BODY_4:BODY_8|0
global illumination algorithms|JJ NN NNS|ABSTRACT_5:ABSTRACT_4:TITLE_4:BODY_3:BODY_4:BODY_8|0
we|PRP|BODY_6:BODY_5:BODY_15:ABSTRACT_2:BODY_1:BODY_2:ABSTRACT_3:BODY_3:BODY_4:BODY_7:BODY_8|2
the analysis|DT NN|BODY_6:TITLE_2:BODY_1:BODY_4|0
a framework|DT NN|TITLE_1:BODY_3|0
which|WDT|BODY_12:BODY_6:BODY_5:ABSTRACT_6:BODY_2:BODY_3:BODY_4:BODY_10:BODY_7:BODY_8:BODY_9|0
a finite number|DT JJ NN|BODY_6:ABSTRACT_8:BODY_3:BODY_10|0
errors|NNS|BODY_6:BODY_5:BODY_2:BODY_1:BODY_3:ABSTRACT_1:BODY_4:BODY_10:ABSTRACT_7|1
imprecise form factors|JJ NN NNS|ABSTRACT_3:BODY_4|0
measurement or simulation|NN CC NN|ABSTRACT_8:BODY_3|0
computational errors|JJ NNS|BODY_5:BODY_2:BODY_1:BODY_3:ABSTRACT_1:BODY_7:BODY_8|0
discretization error|NN NN|BODY_6:BODY_2:ABSTRACT_1:BODY_10:BODY_9|0
reflectance functions|NN NNS|BODY_5:ABSTRACT_3:BODY_4:BODY_7|0
boundary data|NN NNS|BODY_2:ABSTRACT_1:BODY_9|0
inner products|JJ NNS|BODY_6:ABSTRACT_4:BODY_7|0
emission functions|NN NNS|ABSTRACT_4:BODY_7:BODY_8|0
three sources|CD NNS|ABSTRACT_2:BODY_2|0
boundary elements|NN NNS|ABSTRACT_5:BODY_1|0
this paper|DT NN|BODY_1:BODY_3:ABSTRACT_1|0
a finite-dimensional linear system|DT JJ NN NN|ABSTRACT_3|0
the finite-dimensional linear system|DT JJ NN NN|ABSTRACT_2|0
a corresponding projection method|DT JJ NN NN|ABSTRACT_6|0
halting iterative solvers|NN NN NNS|ABSTRACT_7|0
the boundary data|DT NN NNS|ABSTRACT_4|0
each distinct category|DT JJ NN|ABSTRACT_7|0
the error taxonomy|DT NN NN|ABSTRACT_1|0
the paper|DT NN|ABSTRACT_2|0
surface geometry|NN NN|ABSTRACT_2|0
derive bounds|JJ NNS|ABSTRACT_6|0
new avenues|JJ NNS|ABSTRACT_5|0
computational efficiency|JJ NN|ABSTRACT_10|0
that|DT|BODY_6:BODY_5:BODY_11:BODY_1:BODY_2:BODY_3:BODY_10:BODY_4:BODY_7:BODY_8:BODY_9|0
