constructive solid geometry|JJ JJ NN|TITLE_3:BODY_1:ABSTRACT_1|0
we|PRP|BODY_12:BODY_11:BODY_22:BODY_15:BODY_23:BODY_13:BODY_2:BODY_14:BODY_3:BODY_4:BODY_6:BODY_5:ABSTRACT_5:ABSTRACT_4:BODY_1:ABSTRACT_1:BODY_10:BODY_7:BODY_8:BODY_20:BODY_9|9
which|WDT|BODY_12:BODY_11:BODY_21:BODY_13:BODY_2:ABSTRACT_3:BODY_3:BODY_4:BODY_6:BODY_5:ABSTRACT_4:BODY_27:BODY_10:BODY_7:BODY_8:BODY_9|1
bounds|NNS|BODY_17:BODY_18:ABSTRACT_3:BODY_2:BODY_25:BODY_3:BODY_14:BODY_4:BODY_6:ABSTRACT_6:BODY_5:BODY_1:BODY_7:BODY_9|2
the rewrite rules|DT NN NNS|BODY_6:BODY_5:BODY_13:BODY_3:ABSTRACT_1:BODY_4:BODY_7:BODY_9|0
the refinement rules|DT NN NNS|ABSTRACT_2:BODY_8|0
a bounding function|DT VBG NN|BODY_3:ABSTRACT_1|0
totally consistent bounding functions|RB JJ VBG NNS|ABSTRACT_3|0
a solid modeling system|DT JJ JJ NN|ABSTRACT_4|0
three and four dimensions|CD CC CD NNS|ABSTRACT_7|0
whose internal nodes|WP$ JJ NNS|ABSTRACT_6|0
their theoretical insight|PRP$ JJ NN|ABSTRACT_5|0
the desirable properties|DT JJ NNS|ABSTRACT_5|0
the constituent sets|DT JJ NNS|ABSTRACT_5|0
general boolean algebras|JJ JJ NNS|ABSTRACT_6|0
surprisingly good bounds|RB JJ NNS|ABSTRACT_6|0
that|IN|BODY_11:BODY_16:BODY_18:BODY_2:BODY_14:BODY_3:BODY_4:BODY_6:BODY_5:BODY_1:BODY_10:BODY_7:BODY_8|3
a binary node t|DT JJ NN NN|BODY_2|1
complement or difference operators|NN CC NN NNS|BODY_5|1
it|PRP|BODY_12:BODY_6:BODY_11:BODY_5:BODY_21:BODY_1:BODY_2:BODY_3:BODY_4:BODY_10:BODY_8:BODY_9|0
the standard box bounds|DT JJ NN NNS|BODY_2|0
a ) ( b|DT -RRB- -LRB- NN|BODY_2|0
the 5 non-empty bounds|DT CD JJ NNS|BODY_13|0
the bound fi( t|DT JJ NN NN|BODY_6:BODY_5|0
the new bounding function|DT JJ NN NN|BODY_12|0
a single bounding function|DT JJ NN NN|BODY_2|0
the aligned box system|DT VBN NN NN|BODY_5:BODY_2|0
the tree node labels|DT NN NN NNS|BODY_2|0
the 'current ' bounds|DT JJ '' NNS|BODY_2|0
convenient ( e .g.|JJ -LRB- NN NNP|BODY_6|0
figure 5( b )|NN JJ NN -RRB-|BODY_3|0
the axioms and theorems|DT NNS CC NNS|BODY_9|0
any null-bounded internal node|DT JJ JJ NN|BODY_2|0
the left slightly (|DT JJ RB -LRB-|BODY_5|0
a collision detection application|DT NN NN NN|BODY_4|0
the csg tree [13|DT NN NN NN|BODY_6|0
a four-tuple , viz.|DT JJ , NN|BODY_4|0
the tree 1 (|DT NN CD -LRB-|BODY_14|0
a b 0 satisfying|DT NN CD JJ|BODY_10:BODY_19|0
b and c overlapping|NN CC NN NN|BODY_6|0
no new null (|DT JJ NN -LRB-|BODY_16|0
\gamma ( set difference|NN -LRB- VBN NN|BODY_11|0
a robot ( modelled|DT NN -LRB- JJ|BODY_4|0
' a  b|POS DT NN NN|BODY_8|0
a ) figure 7|DT -RRB- NN CD|BODY_2|0
the appropriate boolean lattice|DT JJ JJ NN|BODY_6|0
the original primitive interpretation|DT JJ JJ NN|BODY_5|0
a 'rectangle ' (|DT JJ POS -LRB-|BODY_9|0
inner and outer bounds|JJ CC JJ NNS|BODY_5|0
5.2.1 spherical bound system|CD JJ JJ NN|BODY_2|0
a bf system sensible|DT JJ NN NN|BODY_10|0
only a few (|RB DT JJ -LRB-|BODY_7|0
three-dimensional example ffl rules|JJ NN NN NNS|BODY_11|0
one entity and t|CD NN CC NN|BODY_3|0
the most practical promise|DT RBS JJ NN|BODY_6|0
a solid modelling system|DT JJ JJ NN|BODY_11|0
the corresponding set operations|DT JJ NN NNS|BODY_3|0
the exact combination system|DT JJ NN NN|BODY_5|0
the trees t 1|DT NNS NN CD|BODY_4|0
the appropriate smallest bound|DT JJ JJS JJ|BODY_6|0
a ) z y|DT -RRB- FW NN|BODY_9|0
@ @ figure 8|'' '' NN CD|BODY_13|0
at most n values|IN JJS NN NNS|BODY_5|0
a standard bound places|DT NN VBN NNS|BODY_2|0
chose u and t|VBD NN CC NN|BODY_12|0
fi 0 ( t|JJ CD -LRB- NN|BODY_9|0
the smaller sphere forms|DT JJR NN NNS|BODY_10|0
the bounded interpretation function|DT VBN NN NN|BODY_5|0
the special u operation|DT JJ NN NN|BODY_11|0
union and intersection nodes|NN CC NN NNS|BODY_5|0
an initial tc-bf fi|DT JJ NN NN|BODY_3|0
' '( l )|POS JJ NN -RRB-|BODY_5|0
the standard box operations|DT JJ NN NNS|BODY_7|0
an double bounding function|DT JJ VBG NN|BODY_5|0
a tree and returns|DT NN CC NNS|BODY_9|0
all the vertical bars|DT DT JJ NNS|BODY_7|0
the downward principle (|DT JJ NN -LRB-|BODY_11|0
the i-zone and u-zone|DT NN CC NN|BODY_6|0
ffl this bound system|RB DT JJ NN|BODY_3|0
the powerset lattice )|DT NN NN -RRB-|BODY_7|0
the natural application order|DT JJ NN NN|BODY_4|0
the non-null bounded nodes|DT JJ VBN NNS|BODY_4|0
t 1 , etc.|NN CD , FW|BODY_3|0
' isos system [1]|POS NNS NN NN|BODY_5|0
's production automation project|POS NN NN NN|BODY_6|0
the other practical systems|DT JJ JJ NNS|BODY_1|0
fi 1 ( t|JJ CD -LRB- NN|BODY_3|0
all smaller primitive interpretations|DT JJR JJ NNS|BODY_12|0
any other primitive interpretation|DT JJ JJ NN|BODY_9|0
the lower two primitives|DT JJR CD NNS|BODY_5|0
arbitrarily complex primitive shapes|RB JJ JJ NNS|BODY_7|0
the available rewrite rules|DT JJ NN NNS|BODY_8|0
figure 1( c )|NN JJ NN -RRB-|BODY_2|0
the above formulae hold|DT JJ JJ NN|BODY_9|0
particular the left-most node|JJ DT JJ NN|BODY_8|0
an implicit intersection node|DT JJ NN NN|BODY_3|0
the primitive interpretation function|DT JJ NN NN|BODY_2|0
exactly one upward pass|RB CD RB NN|BODY_4|0
the normal up-then-down procedure|DT JJ JJ NN|BODY_9|0
an s-bound function (|DT JJ NN -LRB-|BODY_7|0
a primitive interpretation function|DT JJ NN NN|BODY_3|0
any internal node t|DT JJ NN NN|BODY_2|0
the same final state|DT JJ JJ NN|BODY_7|0
a single downward principle|DT JJ JJ NN|BODY_8|0
a unique natural pair|DT JJ JJ NN|BODY_8|0
the 'obvious ' rules|DT JJ '' NNS|BODY_8|0
the conditional distributive identity|DT JJ JJ NN|BODY_8|0
the first question being|DT JJ NN NN|BODY_4|0
an empty box (|DT JJ NN -LRB-|BODY_9|0
some fixed tree t|DT VBN NN NN|BODY_5|0
the unit time cost|DT NN NN NN|BODY_6|0
