that|WDT|BODY_12:BODY_11:BODY_17:BODY_21:BODY_15:BODY_2:BODY_3:BODY_4:BODY_6:BODY_5:BODY_1:BODY_44:BODY_10:BODY_7:ABSTRACT_9:BODY_9|4
there|EX|BODY_6:BODY_5:BODY_11:BODY_16:BODY_18:ABSTRACT_2:BODY_2:BODY_1:BODY_3:BODY_7:BODY_9|2
the data items|DT NNS NNS|BODY_3:ABSTRACT_7|0
the data|DT NNS|BODY_35:ABSTRACT_4:BODY_2:BODY_3:BODY_4:BODY_8|1
statistics|NNS|BODY_6:BODY_32:BODY_5:BODY_11:BODY_26:BODY_1:BODY_2:ABSTRACT_3:BODY_3:BODY_10:BODY_4|3
they|PRP|BODY_5:ABSTRACT_4:BODY_2:BODY_1:BODY_3:BODY_10:BODY_4:BODY_9|1
a rule-based system architecture|DT JJ NN NN|ABSTRACT_6|0
we|PRP|BODY_12:BODY_11:BODY_16:BODY_17:BODY_2:BODY_25:BODY_3:BODY_14:BODY_4:BODY_6:BODY_32:BODY_36:BODY_5:BODY_1:BODY_10:BODY_7:BODY_8:BODY_9|34
it|PRP|BODY_11:BODY_21:BODY_15:BODY_13:BODY_3:BODY_14:BODY_24:BODY_4:BODY_6:BODY_5:BODY_1:BODY_10:BODY_7:BODY_8:BODY_9|5
the number|DT NN|BODY_12:BODY_11:BODY_16:BODY_17:BODY_18:BODY_13:BODY_23:BODY_25:BODY_2:BODY_14:BODY_3:BODY_4:BODY_6:BODY_5:BODY_36:BODY_28:BODY_1:BODY_19:BODY_10:BODY_8:BODY_20:BODY_9|10
classica oolean optimization techniques|NN JJ NN NNS|BODY_8|1
bound how many items|JJ WRB JJ NNS|BODY_8|1
a database system )|DT NN NN -RRB-|BODY_9|1
mode frequencies and numbers|NN NNS CC NNS|BODY_2|1
a prior distribution information|DT JJ NN NN|BODY_17|1
level 2 , 3|NN CD , CD|BODY_36|1
some numeric attribute j|DT JJ NN NN|BODY_7|1
only one possible value|RB PRP JJ NN|BODY_9|1
min ss special case|NN NN JJ NN|BODY_7|1
another level 2 situation|DT NN CD NN|BODY_11|1
( d(i ,j)-d(k ,j)|-LRB- NN JJ NN|BODY_10|1
partition ( bin )|NN -LRB- NN -RRB-|BODY_6|1
more the l number|RBR DT JJ NN|BODY_3|1
more than one attribute|JJR IN CD NN|BODY_34|1
iowa residents and statistics|NN NNS CC NNS|BODY_27|1
intersection and union sizes|NN CC NN NNS|BODY_5|1
a single numeric attribute|DT JJ JJ NN|BODY_15|1
the e mode frequencies|DT NN NN NNS|BODY_10|1
j ) and number|NN -RRB- CC NN|BODY_8|1
the data items c|DT NNS NNS NN|BODY_7|1
the least common value|DT RBS JJ NN|BODY_5:BODY_4|1
two nonnegativ ncertain quantities|CD JJ JJ NNS|BODY_29|1
level 2b unions f|NN NNP NNS NN|BODY_1|1
s|PRP|BODY_12:BODY_17:BODY_18:BODY_42:BODY_15:BODY_14:BODY_3:BODY_4:BODY_6:BODY_5:BODY_28:BODY_27:BODY_7:BODY_8:BODY_9|7
an intersection or union|DT NN CC NN|BODY_6:BODY_3|0
levels 2 , 3|NNS CD , CD|BODY_2:BODY_9|0
the second inner min|DT JJ JJ NN|BODY_6:BODY_10:BODY_9|0
the first inner min|DT JJ JJ NN|BODY_4:BODY_7:BODY_8|0
the perfect correlation tems|DT JJ NN NNS|BODY_7|0
a disjunctiv ormal form|DT NN JJ NN|BODY_7|0
the various frequency-distribution levels|DT JJ NN NNS|BODY_2|0
levels 1 and 5|NNS CD CC CD|BODY_2:BODY_3|0
a highly factored form|DT RB VBN NN|BODY_6|0
figures 3 and 4|NNS CD CC CD|BODY_6:BODY_2|0
level 5 e information|NN CD NN NN|BODY_2|0
the same term f|DT JJ NN NN|BODY_4|0
just as much space|RB RB JJ NN|BODY_3|0
another a set expression|DT DT VBN NN|BODY_11|0
2v log m bits|JJ NN NN NNS|BODY_5|0
many and complicated correlations|JJ CC JJ NNS|BODY_4|0
level 1 ( size|NN CD -LRB- NN|BODY_3|0
the actual intersection size|DT JJ NN NN|BODY_14:BODY_3|0
a given set expression|DT VBN NN NN|BODY_2|0
level 1 information e|NN CD NN NN|BODY_3|0
no significantly different distributions|DT RB JJ NNS|BODY_6|0
all but trivial cases|DT CC JJ NNS|BODY_8|0
the same information e|DT JJ NN NN|BODY_3|0
the general homomorphism idea|DT JJ NN NN|BODY_7|0
( i 2 ,j|-LRB- FW CD NN|BODY_13|0
5] or first-order sets|JJ CC JJ NNS|BODY_4|0
range analysis pace requirements|NN NN NN NNS|BODY_2|0
the maxima and minima|DT NN CC NN|BODY_7|0
nother very different way|RB RB JJ NN|BODY_2|0
the maximum and minimum|DT NN CC NN|BODY_3|0
a few page fetches|DT JJ NN NNS|BODY_8|0
standard d compression techniques|JJ VBN NN NNS|BODY_6|0
d section 3 )|VBN NN CD -RRB-|BODY_9|0
the level 2 approach|DT NN CD NN|BODY_3|0
level 4 lower bounds|NN CD JJR NNS|BODY_2|0
new and tighter narrowings|JJ CC JJR NNS|BODY_5|0
a ( i )|DT -LRB- NN -RRB-|BODY_4|0
far the major determinant|RB DT JJ NN|BODY_5|0
the minimum erm form|DT JJ JJ NN|BODY_5|0
intersections or unions hen|NNS CC NNS NN|BODY_5|0
generally poorer bounding performance|RB JJR JJ NN|BODY_3|0
our bounding methods f|PRP$ VBG NNS NN|BODY_3|0
an arbitrary attribute j2|DT JJ NN NN|BODY_3|0
the data universe u|DT NNS NN NN|BODY_8|0
figure 1 ( yes|NN CD -LRB- UH|BODY_7|0
level 2 upper bounds|NN CD JJ VBZ|BODY_3|0
both positive and e|DT JJ CC NN|BODY_5|0
all the useful transformations|DT DT JJ NNS|BODY_7|0
the first three formulae|DT JJ CD NNS|BODY_5|0
the above upper bounds|DT JJ JJ NNS|BODY_4|0
range analysis frequency-distribution bounds|NN NN NN VBZ|BODY_2|0
unions ( section 4.4)|NNS -LRB- NN CD|BODY_10|0
the second highest frequency|DT JJ JJS NN|BODY_7|0
+l ) f [probability|JJ -RRB- NN NN|BODY_11|0
just level 1 information|RB NN CD NN|BODY_3|0
he same intersection size|PRP JJ NN NN|BODY_5|0
the time-space ccuracy tradeoffs|DT NN NN NNS|BODY_3|0
the most frequent values|DT RBS JJ NNS|BODY_8|0
code or common distributions|NN CC JJ NNS|BODY_2|0
imposin elections or restrictions|JJ NNS CC NNS|BODY_2|0
a tight linear correlation|DT JJ NN NN|BODY_2|0
that most suitable attributes|IN JJS JJ NNS|BODY_10|0
the maximum or minimum|DT NN CC NN|BODY_11|0
a minus sign )|DT NN NN -RRB-|BODY_7:BODY_8|0
othe han item frequency|DT JJ NN NN|BODY_4|0
the least common divisor|DT RBS JJ NN|BODY_12|0
the second-most common value|DT JJ JJ NN|BODY_6|0
each particular numeric value|DT JJ JJ NN|BODY_6|0
just a set size|RB DT NN NN|BODY_8|0
the full frequency distribution|DT JJ NN NN|BODY_5|0
a union lower ound|DT NN JJR NN|BODY_6|0
set unions and complements|NN NNS CC NNS|BODY_7|0
specific e f sets|JJ NN NN NNS|BODY_6|0
the large set sizes|DT JJ NN NNS|BODY_2|0
j ))-1 ) ss|NN NN -RRB- NN|BODY_12|0
strong range estriction effects|JJ NN NN NNS|BODY_7|0
the e outer minimum|DT NN JJ NN|BODY_17|0
the true set size|DT JJ NN NN|BODY_2|0
no useful average-case generalizations|DT JJ NN NNS|BODY_1|0
a maximum or minimum|DT NN CC NN|BODY_7|0
a few unusual items|DT JJ JJ NNS|BODY_6|0
a routine ( mix|DT JJ -LRB- NN|BODY_2|0
mode frequency and number|NN NN CC NN|BODY_9|0
less than .001 )|JJR IN CD -RRB-|BODY_15|0
